Field Name,Title,Type,Required,Multiple,In UI,Category,Priority,Notes
id,ID,integer,No,No,No,System,N/A,Read-only system field
title,Name,string,No,No,No,System,N/A,System field
xmlId,External ID,string,No,No,No,System,N/A,System field
createdTime,Created on,datetime,No,No,No,System,N/A,Read-only
updatedTime,Updated on,datetime,No,No,No,System,N/A,Read-only
createdBy,Created by,user,No,No,No,System,N/A,Read-only
updatedBy,Updated by,user,No,No,No,System,N/A,Read-only
assignedById,Responsible person,user,No,No,No,System,N/A,System field
opened,Available to everyone,boolean,Yes,No,No,System,N/A,System field
webformId,Created by CRM form,integer,No,No,No,System,N/A,System field
lastCommunicationTime,Last contact,string,No,No,No,System,N/A,Read-only
categoryId,Pipeline,crm_category,No,No,No,System,N/A,System field
movedTime,Stage change date,datetime,No,No,No,System,N/A,Read-only
movedBy,Stage changed by,user,No,No,No,System,N/A,Read-only
stageId,Stage,crm_status,No,No,No,System,N/A,System field
previousStageId,Previous stage,crm_status,No,No,No,System,N/A,Read-only
lastActivityBy,Last timeline activity by,user,No,No,No,System,N/A,Read-only
lastActivityTime,Last updated on,datetime,No,No,No,System,N/A,Read-only
lastCommunicationCallTime,Last call,datetime,No,No,No,System,N/A,Read-only
lastCommunicationEmailTime,Last email,datetime,No,No,No,System,N/A,Read-only
lastCommunicationImolTime,Last Open Channel conversation,datetime,No,No,No,System,N/A,Read-only
lastCommunicationWebformTime,Last CRM form submitted,datetime,No,No,No,System,N/A,Read-only
ufCrm6Name,First Name,string,Yes,No,Yes,Personal Information,Current,SIZE:20
ufCrm6SecondName,Middle Name,string,No,No,Yes,Personal Information,Current,SIZE:20
ufCrm6LastName,Last Name,string,Yes,No,Yes,Personal Information,Current,SIZE:20
ufCrm6PersonalBirthday,Date of Birth,date,Yes,No,Yes,Personal Information,Current,
ufCrm6PersonalGender,Sex,enumeration,Yes,No,No,Personal Information,Critical,Female/Male
ufCrm6Ssn,Social Security Number,string,Yes,No,Yes,Compensation & Benefits,Current,11 chars - SENSITIVE
ufCrm6Email,Personal Email,string,Yes,Yes,Yes,Personal Information,Current,Multiple values - MIN:5
ufCrm6PersonalMobile,Personal Cellphone,string,Yes,Yes,Yes,Personal Information,Current,Multiple values - 12 chars
ufCrm6EmergencyContactName,Emergency Contact Name,string,Yes,No,No,Personal Information,Critical,
ufCrm6EmergencyContactPhone,Emergency Contact Phone,string,Yes,No,No,Personal Information,Critical,
ufCrm6Relationship,Emergency Contact Relationship,string,Yes,No,No,Personal Information,Critical,
ufCrm6MaritalStatus,Marital Status,enumeration,No,No,No,Personal Information,Medium,Single/Married/Divorced/Widowed/Separated
